schedule,session,title,place,speaker
09:30 AM<br/>12:30 PM,Alessio Palmero Aprosio (University of Trento),Tutorial (Room: Laboratorio 2),to define,Creating and analyzing parliamentary speeches
,Matteo Busso / Andrea Bontempelli / Ali Hamza / Leonardo Javier Malcotti (University of Trento),Tutorial (Room: Laboratorio 3),to define,DataScientia services: collecting pervasive data on human behavior
02:30 PM<br/>05:30 PM,Francesco Renzini / Flaminio Squazzoni (University of Milan),Tutorial (Room: Laboratorio 2),to define,Agentizing Computational Models
,Giovanni Cerulli (CNR) and FOSSR members,Tutorial (Room: Laboratorio 3),to define,The Italian Open Social Science Cloud and the RISIS Infrastructure: Fostering Advanced Tools and Services for Social Science Research and Evidence-Based Decision-Making
