schedule,session,title,place,speaker
09:15 - 10:00,Keynote speech,Alex Mesoudi (University of Exeter),,
10:00 - 11:00,,Lightning Talks,,
11:00 - 11:30,,Coffee Break,,
11:30 - 01:00 PM,,Parallel sessions,,
01:00 - 02:30 PM,,Lunch,,
02:30 - 03:30 PM,,Parallel sessions,,
03:30 - 04:00 PM,,Coffee Break,,
04:00 - 04:30 PM,,Closing remarks,,
